stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
tetranitromethane,tetranitro-methane,509-14-8,CN4O8,196,1.643,119.4,1.44,31.44,2.52,0,14,126,0.09,5.64,84207.69,1.132,15.37,0,0.0307,2.4792
thiane,tetrahydro-2h-thiopyran,1613-51-0,C5H10S,102,0.988,103.4,1.506,30.73,6.58,1.71,19,141,0.81,2.13,13.54,0,13.0194,0.779,0,1.2255
thionyl chloride,thionylchloride,9/7/19,Cl2OS,119,1.637,72.7,1.52,22.12,9.25,1.44,-105,77,0.37,2.12,139.54,1.051,10.5059,0,0,2.1542
thiophene,biurea,110-02-1,C4H4S,84,1.059,79.5,1.529,24.5,2.71,0.56,-38,84,472.12,-4.98,0,4.2903,6.2594,3.7651,1.9539,3.5696
"trans-1,2-dichloroethene","trans-1,2-dichloroethene",156-60-5,C2H2Cl2,97,1.252,77.4,1.446,20.63,2.27,0,-49,48,0.31,1.98,610,1.1213,10.2163,0,0,1.7329
trans-decalin,trans-decalin,493-02-7,C10H18,138,0.87,158.9,1.47,44.32,2.17,0,-31,185,1.31,4.41,2.76,0,18.368,0,0,0.023
triacetin,glycerol-triacetate,102-76-1,C9H14O6,218,1.156,188.7,1.428,48.55,7.01,2.73,-78,259,8.2,0.89,0,0.8225,20.079,4.3812,0,7.9271
tribromomethane,chbr3,75-25-2,CHBr3,253,2.827,89.4,1.595,30.38,4.4,1,7,148,0.75,2.51,4.66,0.818,12.429,0,0.2403,1.7599
tributylamine,tri-n-butylamine,102-82-9,C12H27N,185,0.778,238.2,1.428,61.29,2.29,0.76,-70,216,1.73,6.58,0.13,0,27.9792,0,0,0.3305
trichloroethanenitrile,trichloroacetonitrile,545-06-2,C2Cl3N,144,1.44,100.3,1.44,26.43,7.74,2,-44,83,0.42,2.27,61.21,0.0504,13.6134,0.2777,0,1.5074
trichloroethene,trichloroethene,79-01-6,C2HCl3,131,1.464,89.7,1.475,25.27,3.42,0.81,-86,87,0.37,2.63,160.45,0.6381,12.4561,0,0.0088,1.2867
trichlorofluoromethane,cfcl3,75-69-4,CCl3F,137,1.476,93.1,1.383,21.71,2.38,0.48,-80,24,0.24,2.65,825.52,0.0044,12.3155,0,0,0.9949
trichloromethane,chcl3,67-66-3,CHCl3,119,1.489,80.2,1.446,21.37,4.81,1.15,-64,61,0.36,2.09,198.87,0.8827,10.874,0,0.3008,1.1448
trichloronitromethane,trichloronitromethane,76-06-2,CCl3NO2,164,1.651,99.6,1.461,27.31,7.32,1.86,-64,112,0.37,3.11,123.47,0.3212,13.933,0.0059,0.0001,1.9361
"tricyclo[5.2.1.02,6]deca-3,8-diene",dicyclopentadiene,77-73-6,C10H12,132,0.976,135.5,1.511,40.58,2.49,0.4,33,167,1.37,3.59,3.01,0,16.7079,0.1623,0,1.27
triethyl phosphate,triethylphosphate,78-40-0,C6H15O4P,182,1.072,169.9,1.405,41.67,13.01,2.86,-57,215,2.36,1.39,0.02,0.0007,19.4577,2.7007,0,4.0776
trifluoroacetic acid,trifluoroaceticacid,76-05-1,C2HF3O2,114,1.489,76.6,1.285,13.66,8.55,2.26,-15,72,0.91,1.37,106.21,1.2863,9.5322,0.5483,0.9011,1.2518
trifluoromethylbenzene,trifluoromethylbenzene,98-08-8,C7H5F3,146,1.199,121.9,1.415,30.52,9.4,2.86,-29,101,0.71,2.78,25.44,0.3198,15.6252,0.2542,0,3.4652
trimethyl phosphate,trimethylphosphate,512-56-1,C3H9O4P,140,1.213,115.5,1.395,27.69,21.26,2.82,-46,197,1.52,0.06,0.35,0.1066,13.8884,2.4592,0,4.8563
triphenylmethane,triphenylmethane,519-73-3,C19H16,244,1.013,241.1,1.579,80.1,2.45,0,93,360,37.83,5.25,0,0.0345,28.6033,0,0,6.2023
undecane,n-undecane,1120-21-4,C11H24,156,0.737,212.1,1.417,53.34,2.01,0,-26,196,1.2,6.52,0.48,0,25.6707,0,0,0.0686
undecanol,1-undecanol,112-42-5,C11H24O,172,0.83,207.7,1.439,54.64,5.98,1.7,19,243,19.73,4.7,0,0.733,24.865,1.1514,0.3179,0.9382
vinyl acetate,vinylacetate,108-05-4,C4H6O2,86,0.925,93.1,1.396,22.36,2.3,1.61,-100,73,0.52,1.36,85.22,0.212,11.5021,1.2462,0,3.5486
water,h2o,7732-18-5,H2O,18,1,18,1.333,3.71,80.1,1.87,0,100,0.9,-1.59,31.56,1.6939,1.2049,1.4083,0.8747,1.115
2-butanol,2-butanol,78-92-2,C4H10O,74,0.807,92,1.395,22.02,16.56,1.41,-115,100,2.26,0.98,20.86,0.6386,10.8805,1.0538,0.2464,0.9832
2-pentanone,2-pentanone,107-87-9,C5H10O,86,0.808,107,1.39,25.27,15.45,2.7,-78,101,0.49,0.9,52.48,0.0079,12.5415,1.5288,0,2.1917
4-methyl-2-pentanone,4-methyl-2-pentanone,108-10-1,C6H12O,100,0.801,125,1.396,30.03,13.11,2.69,-85,118,0.55,1.44,22.8,0.0125,14.2223,1.4509,0,2.1405
2-propanone,acetone,67-64-1,C3H6O,58,0.79,74,1.359,16.17,21.4,2.69,-97,57,0.35,-0.3,28.99,0.02,8.58,1.66,0,2.7391
cyclohexanone,cyclohexanone,108-94-1,C6H10O,98,0.948,104,1.448,27.71,18.2,3.06,-32,156,0.9,0.9,6.6,0.0001,12.168,1.6816,0,1.5732
2-butanone,butanone,78-93-3,C4H8O,72,0.805,90,1.379,20.69,18.51,2.76,-86,80,0.41,0.37,156.69,0.0073,10.5457,1.5261,0,2.3794
toluene,toluene,108-88-3,C7H8,92,0.867,106,1.497,31.1,2.38,0.31,-93,111,0.71,2.6,33.49,0.0045,14.0878,0,0,2.3399
acetonitrile,acetonitrile,75-05-8,C2H3N,41,0.782,53,1.344,11.12,37.5,3.44,-45,82,0.41,-1.05,65.82,0.8174,6.098,1.3677,0,2.7931
diethyl carbonate,diethylcarbonate,105-58-8,C5H10O3,118,0.975,121,1.384,28.33,3.1,1.07,-43,127,0.82,1.32,12.32,0.0002,14.3465,2.1132,0,3.3651
dimethyl sulfoxide,dimethylsulfoxide,67-68-5,C2H6OS,78,1.1,71,1.479,20.15,46.68,4.1,19,189,1.14,-1.93,0.83,0.5797,8.5679,2.0425,0,4.0513
tetrahydrofuran,thf,109-99-9,C4H8O,72,0.888,81,1.407,20,7.58,1.75,-108,66,0.47,0.7,205.7,0,10.1153,1.0852,0,0.8093
N-methylpyrrolidon,n-methyl-2-pyrrolidinone,872-50-4,C5H9NO,99,1.03,96,1.47,26.84,32.2,4.09,-24,202,1.12,-0.46,1.41,0,12.0083,1.9298,0,2.4408
diethyl ether,diethylether,60-29-7,C4H10O,74,0.713,104,1.352,22.5,4.33,1.15,-117,35,0.26,1.6,515.54,0,12.0829,0.9649,0,0.5452
"N,N-dimethylformamide",dimethylformamide,68-12-2,C3H7NO,73,0.949,77,1.431,19.92,36.71,3.86,-60,153,0.53,-0.95,25.54,0.0399,9.712,1.8607,0,2.9945
triethylamine,triethylamine,121-44-8,C6H15N,101,0.728,139,1.401,33.79,2.42,0.87,-115,90,0.39,3.34,116.08,0,15.971,0.0129,0,0.5031
3-methylbutyl acetate,isoamylacetate,123-92-2,C7H14O2,130,0.876,149,1.4,36.03,5.6,1.84,-78,142,0.99,2.29,3.25,0.0241,16.9028,1.7473,0,2.4622
bis(2-methoxyethyl) ether,diglyme,111-96-6,C6H14O3,134,0.937,143,1.408,35.33,7.3,1.92,-64,162,0.76,0.76,0.71,0,16.834,2.7585,0,2.8367
"4-methyl-2-oxo-1,3-dioxolane",propylenecarbonate,108-32-7,C4H6O3,102,1.201,85,1.421,21.56,64.9,4.94,-55,242,1.8,-0.38,0.06,0.5882,10.1397,2.1004,0,4.6239
octanol,1-octanol,111-87-5,C8H18O,130,0.827,158,1.427,40.43,10.3,1.68,-16,194,8.52,3.11,0.17,0.7368,18.8907,1.1451,0.3197,0.9292
dimethyl carbonate,dimethylcarbonate,616-38-6,C3H6O3,90,1.073,84,1.368,18.9,3.17,0.93,3,90,0.53,0.26,86.7,0.0802,10.3582,1.9832,0,3.7668
cyclohexane,cyclohexane,110-82-7,C6H12,84,0.779,108,1.426,27.71,1.88,0,7,81,0.41,0.41,253.74,0,13.1171,0,0,0.0217
methoxybenzene,anisole,100-66-3,C7H8O,108,0.99,109,1.517,33.04,4.33,1.38,-37,154,1.16,2.18,4.03,0.0484,14.4799,0.5233,0,3.7037
"2,2,4-trimethylpentane","2,2,4-trimethylpentane",540-84-1,C8H18,114,0.692,165,1.391,39.26,1.94,0,-107,99,0.42,4.33,70.66,0,17.9617,0,0,0.1372
2-methyl-1-propanol,isobutanol,78-83-1,C4H10O,74,0.802,93,1.396,22.21,16.68,1.79,-108,108,2.56,1,16.28,0.7091,10.7751,1.0672,0.3238,0.8828
benzonitrile,benzonitrile,100-47-0,C7H5N,103,1,103,1.528,31.75,26,4.28,-13,190,1.45,1.45,0.48,0.5431,12.921,1.1168,0,3.6454
"1,4-butanediol","1,4-butadiol",110-63-4,C4H10O2,90,1.017,89,1.446,23.63,32.9,2.58,20,235,19.37,-0.32,0.03,0.8386,10.4008,1.8115,0.4928,1.6653
hexanol,1-hexanol,111-27-3,C6H14O,102,0.814,126,1.418,31.63,13.3,1.65,-47,158,5.12,2.03,1.22,0.7269,14.9099,1.1737,0.3232,0.9139
butyl acetate,n-butylacetate,123-86-4,C6H12O2,116,0.88,132,1.394,31.6,5.01,1.84,-74,126,0.69,0.69,5.38,0.0353,15.5485,1.7771,0,2.4408
triethoxymethane,triethyl orthoformate,122-51-0,C7H16O3,148,0.893,166,1.39,39.34,4.779,1.67,-61,143,1.08,1.79,0.56,0,18.63,2.14,0,2.3563
"N,N-dimethylacetamide","n,n-dimethylacetamide",127-19-5,C4H9NO,87,0.942,92.5,1.438,24.31,37.78,3.72,-20,165,0.63,-0.5,10.11,0.02,11.43,1.84,0,2.8469
diisopropyl ether,diisopropylether,108-20-3,C6H14O,102,0.724,141.1,1.368,31.8,4.04,1.13,-86,68,0.47,2.51,28.72,0,15.58,0.79,0,0.7435
2-propanol,2-propanol,67-63-0,C3H8O,60,0.785,76.5,1.377,17.61,19.92,1.59,-89,82,2.4,0.35,34.41,0.7,8.91,1.14,0.28855,1.0916
