stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
3-methyl-1-butanol,isopentanol,123-51-3,C5H12O,88,0.81,108.8,1.401,26.46,15.2,1.7,-134,130,3.87,1.4,4.47,0.7177,12.5135,1.1817,0,1.9973
3-methyl-2-butanone,3-methyl-2-butanone,563-80-4,C5H10O,86,0.804,107.1,1.388,25.28,16.57,2.79,-92,94,0.46,0.92,67.58,0.0139,12.2246,1.487,0.1952,3.2781
3-methylaniline,3-methylaniline,108-44-1,C7H9N,107,0.999,107.3,1.567,35.04,5.95,1.3,-44,203,2.51,1.4,0.4,1.3544,13.521,0.5282,0.6133,1.4796
3-methylbutanoic acid,isovalericacid,503-74-2,C5H10O2,102,0.925,110.4,1.403,26.96,2.6,0.63,-29,176,5.57,1.26,1.39,0.913,12.0834,1.7313,0,2.4622
3-methylhexane,3-methyl-hexane,589-34-4,C7H16,100,0.69,145.2,1.389,34.33,1.93,0,-119,92,0.35,4.17,142.74,0,17.1037,0,0,0.1052
3-methylphenol,3-hydroxytoluene,108-39-4,C7H8O,108,1.034,104.6,1.54,32.8,11.5,1.6,11,203,5.49,1.85,0.28,0.9406,13.3775,0.6924,0.6502,2.4956
3-methylpyridine,3-picoline,108-99-6,C6H7N,93,0.957,97.4,1.507,28.97,11.1,2.41,-18,144,0.95,1.04,7.45,0.0664,12.5906,0.9576,0,2.9791
3-octanol,3-octanol,589-98-0,C8H18O,130,0.818,159.3,1.421,40.39,7.03,1.74,-45,175,4.2,3.23,0.47,0.6241,18.9219,0.9292,0.2334,0.8084
3-pentanone,3-pentanone,96-22-0,C5H10O,86,0.815,105.7,1.392,25.17,17.3,2.7,-39,101,0.49,1.06,66.29,0,12.556,1.415,0,2.0329
"4,N,N-trimethylaniline","n,n,4-trimethylaniline",99-97-8,C9H13N,135,0.937,144.4,1.547,45.77,3.9,1.23,-25,211,1.68,3.35,0.48,0.0081,18.6689,0.2581,0,2.7209
4-chlorotoluene,1-chloro-4-methylbenzene,106-43-4,C7H7Cl,127,1.071,118.2,1.521,35.99,6.08,2.21,7,162,1.04,3.02,3.98,0.1427,15.8236,0,0,2.8811
4-ethylpyridine,4-ethylpyridine,536-75-4,C7H9N,107,0.941,113.9,1.502,33.61,10.98,2.65,-91,167,1.19,1.52,2.73,0.0653,14.4578,0.9796,0,2.7352
4-fluorotoluene,4-fluorotoluene,352-32-9,C7H7F,110,0.998,110.4,1.469,30.73,5.86,2,-57,116,0.74,2.68,27.07,0.1505,14.6611,0,0,2.7589
4-heptanol,4-heptanol,589-55-9,C7H16O,116,0.815,142.6,1.418,35.94,6.17,1.7,-42,155,3.11,2.7,0.84,0.6257,16.9192,0.9301,0.2336,0.7878
4-heptanone,4-heptanone,123-19-3,C7H14O,114,0.815,140.1,1.407,34.49,12.6,2.68,-33,144,0.57,2.21,9.19,0,16.547,1.4354,0,1.6817
4-methoxyaniline,p-anisidine,104-94-9,C7H9NO,123,1.061,116.1,1.556,37.32,8.84,1.8,57,246,4.56,0.86,0.03,1.3549,13.9603,1.1678,0.1532,4.6182
"4-methyl-1,3-pentadiene","4-methyl-1,3-pentadiene",926-56-7,C6H10,82,0.719,114.3,1.45,30.73,2.6,0.52,-70,76,0.37,2.87,233.05,0.003,14.4875,0.0623,0,1.7508
4-methyl-3-heptanol,4-methyl-3-heptanol,14979-39-6,C8H18O,130,0.794,164,1.418,41.32,5.25,1.23,-123,170,3.47,3.15,1.05,0.6573,17.9564,0.9272,0.2641,0.8773
4-methyl-3-penten-2-one,4-methyl-3-penten-2-one,141-79-7,C6H10O,98,0.858,114.4,1.444,30.39,15.1,3.28,-59,130,0.61,1.23,17.73,0.0039,13.7668,1.4902,0,2.6363
4-methylaniline,4-methylaniline,106-49-0,C7H9N,107,0.954,112.3,1.553,35.96,4.98,1.38,45,200,2.52,1.41,0.44,1.3409,13.5852,0.5098,0.1835,3.2268
4-methylpentanenitrile,4-methylpentanitrile,542-54-1,C6H11N,97,0.803,121,1.406,29.72,15,3.53,-51,154,0.7,1.23,5.2,0.3166,14.1662,1.3696,0,2.2996
4-methylpyridine,4-methylpyridine,108-89-4,C6H7N,93,0.957,97.3,1.505,28.86,12.28,2.7,4,145,0.96,0.99,6.78,0.0592,12.5787,0.9788,0,3.0701
4-nitroanisole,p-nitroanisole,100-17-4,C7H7NO3,153,1.219,125.6,1.571,41.25,27.98,5.26,54,259,3.1,1.92,0.01,0.7272,15.6329,1.4016,0,4.8789
4-octanol,octan-4-ol,589-62-8,C8H18O,130,0.815,159.7,1.423,40.65,5.12,1.15,-41,177,3.96,3.27,0.51,0.6247,18.8883,0.9319,0.234,0.7894
5-nonanone,5-nonanone,502-56-7,C9H18O,142,0.818,173.9,1.42,44,10.6,2.71,-50,188,0.95,3.19,1.1,0,20.4354,1.4157,0,1.6633
acenaphthene,acenaphthene,83-32-9,C12H10,154,1.024,150.6,1.605,51.84,3,0.93,94,277,3.13,3.53,0.1,0.0092,19.0233,0,0,3.1984
acetaldoxime,acetaldehydeoxime,107-29-9,C2H5NO,59,0.97,60.9,1.426,15.61,3.4,0.75,45,115,3.87,-0.17,15.47,0.8828,7.5284,1.5044,0.587,1.9906
acetic acid,aceticacid,64-19-7,C2H4O2,60,1.051,57.1,1.372,12.99,6.2,1.68,17,118,3.54,-0.47,6.36,0.9527,6.4224,1.8889,0.6156,2.1773
acetic anhydride,aceticanhydride,108-24-7,C4H6O3,102,1.082,94.4,1.39,22.37,20,2.8,-73,139,0.78,0.35,1.6,0.3781,11.2705,2.1978,0,4.3632
acetophenone,acetophenone,98-86-2,C8H8O,120,1.024,117.3,1.533,36.39,17.4,3.05,20,202,1.82,1.34,0.47,0.1219,14.5751,1.4581,0,4.0974
acetyl chloride,acetylchloride,75-36-5,C2H3ClO,79,1.104,71.1,1.39,16.85,15.8,2.72,-112,52,0.36,1.21,245.56,0.6953,9.4745,0.1419,0,2.8587
aniline,aniline,62-53-3,C6H7N,93,1.022,91.1,1.583,30.45,6.7,1.51,-6,184,2.04,0.89,0.87,1.3913,11.6321,0.4657,0.225,3.4954
anthracene,anthracene,120-12-7,C14H10,178,1.25,142.6,1.595,48.44,2.35,0,218,340,6.89,3.91,0,0.0711,21.4886,0,0,5.0605
benzaldehyde,benzaldehyde,100-52-7,C7H6O,106,1.042,101.9,1.546,32.28,17.8,2.89,-26,178,1.42,1.1,1.79,0.1325,12.9493,1.4077,0,3.872
benzene,benzene,71-43-2,C6H6,78,0.879,88.9,1.501,26.2,2.28,0,6,80,0.58,2.05,102.17,0.016,12.1212,0,0,2.6909
benzoyl chloride,benzoylchloride,98-88-4,C7H5ClO,141,1.212,116,1.554,37.15,23,3.26,-1,197,1.37,2.77,0.69,0.3198,15.6252,0.2542,0,3.4652
benzyl acetate,aceticacidphenylmethylester,140-11-4,C9H10O2,150,1.057,142.1,1.523,43.4,5.1,1.22,-51,214,2.96,1.99,0.06,0.0966,17.7945,1.7594,0,5.3518
