cas_number,solubility
10025-87-3,-5.00270605
12/2/19,-6.28154586
110-89-4,-0.13294148
123-38-6,-2.40115396
74-98-6,-9.73689714
109-77-3,0
107-12-0,-1.22014271
79-09-4,0
71-23-8,0
115-07-1,-6.63504686
109-60-4,-3.41914176
110-74-7,-1.84402842
627-13-4,-4.61732672
106-36-5,-3.89994709
107-10-8,0
103-65-1,-6.21902796
290-37-9,-0.93276216
110-86-1,-1.65512848
109-97-7,0
123-75-1,0.8855886
91-22-5,-2.55546152
90-02-8,0
100-42-5,-4.98517571
126-33-0,-0.53822543
7791-25-5,-5.92910498
127-18-4,-8.01411905
56-23-5,-7.90317895
119-64-2,-6.23705887
75-76-3,-8.94586987
509-14-8,-5.31475428
1613-51-0,-5.08455592
9/7/19,-3.82743005
110-02-1,-3.20150328
156-60-5,-1.4428436
493-02-7,-9.54681067
102-76-1,-1.94233837
75-25-2,0
102-82-9,-5.41145972
545-06-2,-6.04197917
79-01-6,-1.57688042
75-69-4,-8.36856088
67-66-3,0
76-06-2,-5.90599742
77-73-6,-7.17107739
78-40-0,-2.84730681
76-05-1,0
98-08-8,-5.14794645
512-56-1,-1.89429313
519-73-3,-4.9971782
1120-21-4,-9.71074574
112-42-5,0
108-05-4,-3.10203452
7732-18-5,0
78-92-2,0
107-87-9,-2.92679562
108-10-1,-3.41489449
67-64-1,-1.94557397
108-94-1,-2.84779536
78-93-3,-2.52211143
108-88-3,-5.62238691
75-05-8,-0.03170681
105-58-8,-3.37463629
67-68-5,1.23922183
109-99-9,-3.05279904
872-50-4,-1.27289118
60-29-7,-4.62426866
68-12-2,-0.91103173
121-44-8,-4.19720804
123-92-2,-3.82446405
111-96-6,-3.12013168
108-32-7,-0.85362414
111-87-5,0
616-38-6,-2.37971083
110-82-7,-9.61967156
100-66-3,-4.31869186
540-84-1,-9.50557079
78-83-1,0
100-47-0,-1.84883506
110-63-4,0
111-27-3,0
123-86-4,-3.72896144
122-51-0,-3.71998539
127-19-5,-1.18316243
108-20-3,-5.00863724
67-63-0,0
7719-12-2,-6.28154586
7719-09-7,-3.82743005
,
